name,Qs_lower,Qs_upper,Qdots_lower,Qdots_upper,Qdotdots_lower,Qdotdots_upper,,,,,,,
pelvis_tilt,-0.34906585,0.067285382,-2.35322042,2.466032943,-37.92132681,39.57369348,,,,,,,
pelvis_list,-0.416176699,0.416176699,-12.41555503,12.41555503,-184.0645282,184.0645282,,,,,,,
pelvis_rotation,-0.31172284,0.31172284,-5.992535546,5.992535546,-123.0983825,123.0983825,,,,,,,
pelvis_tx,0,4,0,10.92168731,-245.4619359,205.1243426,,,,,,,
pelvis_ty,0.469888297,1.127731913,-5.445624522,5.499534274,-67.48681637,66.41008836,,,,,,,
pelvis_tz,-0.1,0.1,-1.929569338,1.91507829,-23.64726458,22.14211715,,,,,,,
hip_flexion_r,-1.918116687,2.119023214,-41.20486726,43.70777559,-385.8979274,402.8899064,,,,,,,
hip_adduction_r,-0.63881189,0.718717426,-20.43730165,20.49713835,-282.4908821,291.0948066,,,,,,,
hip_rotation_r,-0.507448252,0.471590337,-13.33873372,13.91173602,-270.5415725,273.7361785,,,,,,,
knee_angle_r,-3.054787729,1.697941522,-38.88469571,39.50515416,-435.3677038,441.7817592,,,,,,,
ankle_angle_r,-1.417419483,1.354808847,-25.98051807,24.15600841,-1585.789391,1721.371598,,,,,,,
subtalar_angle_r,-0.820228848,0.904224761,-14.8908127,14.67019964,-924.8254959,931.5946457,,,,,,,
mtp_angle_r,-0.5,1.05,-13,13,-500,500,,,,,,,
hip_flexion_l,-1.918116687,2.119023214,-41.20486726,43.70777559,-385.8979274,402.8899064,,,,,,,
hip_adduction_l,-0.63881189,0.718717426,-20.43730165,20.49713835,-282.4908821,291.0948066,,,,,,,
hip_rotation_l,-0.507448252,0.471590337,-13.33873372,13.91173602,-270.5415725,273.7361785,,,,,,,
knee_angle_l,-3.054787729,1.697941522,-38.88469571,39.50515416,-435.3677038,441.7817592,,,,,,,
ankle_angle_l,-1.417419483,1.354808847,-25.98051807,24.15600841,-1585.789391,1721.371598,,,,,,,
subtalar_angle_l,-0.820228848,0.904224761,-14.8908127,14.67019964,-924.8254959,931.5946457,,,,,,,
mtp_angle_l,-0.5,1.05,-13,13,-500,500,,,,,,,
lumbar_extension,-0.279630627,0.066267408,-6.43366323,6.944916319,-105.6707889,100.3435109,,,,,,,
lumbar_bending,-0.530838053,0.530838053,-15.44767579,15.44767579,-219.4899049,219.4899049,,,,,,,
lumbar_rotation,-0.66543207,0.66543207,-7.201853951,7.201853951,-77.49828275,77.49828275,,,,,,,
arm_flex_r,-1.210348633,1.100514717,-10.80739625,10.47639042,-131.0324105,133.4769104,,,,,,,
arm_add_r,-0.743894308,-0.234741668,-8.180308835,8.345621566,-78.8743876,78.59138272,,,,,,,
arm_rot_r,-0.229648726,0.338379488,-11.15809684,12.08383683,-229.7603304,228.050244,,,,,,,
elbow_flex_r,0,2.006353066,-24.63504886,25.80675516,-186.6225227,188.5538552,,,,,,,
arm_flex_l,-1.210348633,1.100514717,-10.80739625,10.47639042,-131.0324105,133.4769104,,,,,,,
arm_add_l,-0.743894308,-0.234741668,-8.180308835,8.345621566,-78.8743876,78.59138272,,,,,,,
arm_rot_l,-0.229648726,0.338379488,-11.15809684,12.08383683,-229.7603304,228.050244,,,,,,,
elbow_flex_l,0,2.006353066,-24.63504886,25.80675516,-186.6225227,188.5538552,,,,,,,
